Light,Temp,RTC,hour,WeekDay,Event,Day,Minutes,Month
641,22.4,2022-12-30 21:10:00,21,Friday,0,4,1270,12
500,22.7,2022-12-30 22:00:00,22,Friday,1,4,1320,12
621,21.7,2022-12-01 10:10:00,10,Thursday,0,3,610,12
604,20.8,2022-12-01 11:20:00,11,Thursday,0,3,680,12
496,21.0,2022-12-02 07:10:00,7,Friday,1,4,430,12
513,21.7,2022-12-02 09:20:00,9,Friday,0,4,560,12
557,22.7,2022-12-02 13:00:00,13,Friday,0,4,780,12
596,21.4,2022-12-02 17:30:00,17,Friday,0,4,1050,12
488,20.4,2022-12-03 17:10:00,17,Saturday,1,5,1030,12
632,23.8,2022-12-03 20:10:00,20,Saturday,0,5,1210,12
638,22.0,2022-12-04 13:50:00,13,Sunday,1,6,830,12
592,20.6,2022-12-04 16:20:00,16,Sunday,0,6,980,12
475,21.4,2022-12-04 21:00:00,21,Sunday,1,6,1260,12
602,20.2,2022-12-04 22:10:00,22,Sunday,0,6,1330,12
602,22.9,2022-12-05 19:20:00,19,Monday,1,0,1160,12
567,22.6,2022-12-06 06:10:00,6,Tuesday,0,1,370,12
482,20.3,2022-12-06 07:20:00,7,Tuesday,1,1,440,12
548,21.5,2022-12-06 11:40:00,11,Tuesday,0,1,700,12
583,22.5,2022-12-06 21:10:00,21,Tuesday,1,1,1270,12
609,20.6,2022-12-06 21:40:00,21,Tuesday,0,1,1300,12
489,20.2,2022-12-06 21:50:00,21,Tuesday,1,1,1310,12
562,20.1,2022-12-07 07:00:00,7,Wednesday,0,2,420,12
511,21.4,2022-12-07 10:20:00,10,Wednesday,0,2,620,12
640,20.3,2022-12-07 11:30:00,11,Wednesday,0,2,690,12
492,21.6,2022-12-08 08:20:00,8,Thursday,1,3,500,12
612,23.3,2022-12-08 09:20:00,9,Thursday,0,3,560,12
519,23.8,2022-12-08 10:20:00,10,Thursday,0,3,620,12
566,20.9,2022-12-08 11:20:00,11,Thursday,0,3,680,12
495,21.6,2022-12-08 12:50:00,12,Thursday,0,3,770,12
556,19.6,2022-12-08 13:40:00,13,Thursday,0,3,820,12
552,22.5,2022-12-08 17:40:00,17,Thursday,1,3,1060,12
637,22.8,2022-12-08 18:50:00,18,Thursday,0,3,1130,12
477,23.3,2022-12-08 20:20:00,20,Thursday,1,3,1220,12
622,21.7,2022-12-08 22:30:00,22,Thursday,0,3,1350,12
509,20.1,2022-12-09 06:30:00,6,Friday,1,4,390,12
607,23.1,2022-12-09 08:40:00,8,Friday,0,4,520,12
496,22.6,2022-12-09 08:50:00,8,Friday,1,4,530,12
571,21.7,2022-12-09 09:30:00,9,Friday,0,4,570,12
649,21.4,2022-12-09 11:10:00,11,Friday,0,4,670,12
570,23.4,2022-12-09 15:20:00,15,Friday,0,4,920,12
488,22.7,2022-12-09 19:40:00,19,Friday,1,4,1180,12
636,20.0,2022-12-09 22:30:00,22,Friday,0,4,1350,12
538,22.5,2022-12-11 08:00:00,8,Sunday,1,6,480,12
489,23.9,2022-12-11 09:40:00,9,Sunday,0,6,580,12
548,21.2,2022-12-11 10:10:00,10,Sunday,1,6,610,12
580,22.3,2022-12-11 11:40:00,11,Sunday,0,6,700,12
500,23.1,2022-12-11 12:10:00,12,Sunday,1,6,730,12
481,20.9,2022-12-11 15:50:00,15,Sunday,0,6,950,12
642,23.9,2022-12-12 08:20:00,8,Monday,1,0,500,12
513,23.8,2022-12-12 10:20:00,10,Monday,0,0,620,12
603,21.6,2022-12-12 13:00:00,13,Monday,0,0,780,12
476,20.1,2022-12-12 19:10:00,19,Monday,0,0,1150,12
560,20.6,2022-12-12 21:30:00,21,Monday,1,0,1290,12
513,22.8,2022-12-12 22:30:00,22,Monday,0,0,1350,12
632,22.6,2022-12-13 06:00:00,6,Tuesday,1,1,360,12
482,22.4,2022-12-13 09:20:00,9,Tuesday,0,1,560,12
587,23.2,2022-12-13 12:30:00,12,Tuesday,0,1,750,12
505,21.2,2022-12-13 14:00:00,14,Tuesday,0,1,840,12
641,23.6,2022-12-13 14:10:00,14,Tuesday,0,1,850,12
470,21.1,2022-12-13 15:10:00,15,Tuesday,0,1,910,12
555,23.3,2022-12-13 17:10:00,17,Tuesday,1,1,1030,12
592,21.5,2022-12-13 22:10:00,22,Tuesday,0,1,1330,12
511,20.2,2022-12-15 07:30:00,7,Thursday,1,3,450,12
471,21.9,2022-12-15 08:40:00,8,Thursday,0,3,520,12
590,22.4,2022-12-15 11:20:00,11,Thursday,0,3,680,12
632,22.1,2022-12-15 13:20:00,13,Thursday,0,3,800,12
541,22.3,2022-12-15 22:00:00,22,Thursday,1,3,1320,12
500,21.5,2022-12-15 22:10:00,22,Thursday,0,3,1330,12
609,22.9,2022-12-16 06:30:00,6,Friday,1,4,390,12
549,20.0,2022-12-16 17:00:00,17,Friday,0,4,1020,12
538,23.2,2022-12-16 18:40:00,18,Friday,1,4,1120,12
484,22.3,2022-12-16 19:00:00,19,Friday,0,4,1140,12
633,23.3,2022-12-16 19:30:00,19,Friday,1,4,1170,12
560,23.6,2022-12-16 19:50:00,19,Friday,0,4,1190,12
631,21.7,2022-12-16 20:00:00,20,Friday,1,4,1200,12
482,22.2,2022-12-16 20:40:00,20,Friday,0,4,1240,12
624,22.0,2022-12-16 21:20:00,21,Friday,1,4,1280,12
534,23.4,2022-12-17 09:30:00,9,Saturday,0,5,570,12
601,21.5,2022-12-17 12:30:00,12,Saturday,1,5,750,12
471,20.5,2022-12-17 15:10:00,15,Saturday,0,5,910,12
509,19.7,2022-12-17 21:20:00,21,Saturday,1,5,1280,12
511,21.1,2022-12-19 06:30:00,6,Monday,0,0,390,12
623,21.0,2022-12-19 11:00:00,11,Monday,0,0,660,12
497,20.1,2022-12-19 12:30:00,12,Monday,0,0,750,12
533,21.6,2022-12-19 15:20:00,15,Monday,0,0,920,12
533,20.0,2022-12-19 17:40:00,17,Monday,0,0,1060,12
570,23.0,2022-12-19 19:30:00,19,Monday,1,0,1170,12
483,23.7,2022-12-19 20:30:00,20,Monday,0,0,1230,12
584,22.5,2022-12-19 21:20:00,21,Monday,1,0,1280,12
574,22.5,2022-12-19 22:20:00,22,Monday,0,0,1340,12
625,22.5,2022-12-19 22:30:00,22,Monday,1,0,1350,12
481,22.4,2022-12-20 06:20:00,6,Tuesday,0,1,380,12
506,20.7,2022-12-20 09:10:00,9,Tuesday,0,1,550,12
514,23.1,2022-12-20 11:40:00,11,Tuesday,0,1,700,12
588,23.3,2022-12-20 13:30:00,13,Tuesday,0,1,810,12
481,23.8,2022-12-20 16:20:00,16,Tuesday,0,1,980,12
527,19.9,2022-12-20 18:40:00,18,Tuesday,1,1,1120,12
632,21.4,2022-12-20 18:50:00,18,Tuesday,0,1,1130,12
578,23.1,2022-12-20 20:30:00,20,Tuesday,1,1,1230,12
498,21.2,2022-12-20 22:20:00,22,Tuesday,0,1,1340,12
640,21.9,2022-12-21 06:40:00,6,Wednesday,1,2,400,12
599,20.3,2022-12-21 08:40:00,8,Wednesday,0,2,520,12
584,22.9,2022-12-21 09:10:00,9,Wednesday,0,2,550,12
474,22.7,2022-12-21 09:20:00,9,Wednesday,0,2,560,12
607,20.8,2022-12-21 11:50:00,11,Wednesday,0,2,710,12
543,22.6,2022-12-21 15:20:00,15,Wednesday,0,2,920,12
560,19.8,2022-12-21 17:50:00,17,Wednesday,1,2,1070,12
475,20.4,2022-12-21 19:40:00,19,Wednesday,0,2,1180,12
622,22.1,2022-12-21 20:00:00,20,Wednesday,1,2,1200,12
565,22.6,2022-12-21 21:20:00,21,Wednesday,0,2,1280,12
623,21.8,2022-12-22 08:30:00,8,Thursday,1,3,510,12
487,23.2,2022-12-22 09:00:00,9,Thursday,0,3,540,12
511,21.3,2022-12-23 07:20:00,7,Friday,1,4,440,12
644,22.6,2022-12-23 09:30:00,9,Friday,0,4,570,12
627,20.0,2022-12-23 10:20:00,10,Friday,0,4,620,12
472,23.2,2022-12-23 13:50:00,13,Friday,0,4,830,12
643,22.3,2022-12-23 15:20:00,15,Friday,0,4,920,12
560,22.7,2022-12-23 15:50:00,15,Friday,0,4,950,12
536,21.7,2022-12-23 17:10:00,17,Friday,1,4,1030,12
481,23.1,2022-12-23 18:30:00,18,Friday,0,4,1110,12
625,20.6,2022-12-23 19:20:00,19,Friday,1,4,1160,12
512,22.4,2022-12-01 10:50:00,10,Thursday,0,3,650,12
540,20.4,2022-12-01 12:20:00,12,Thursday,0,3,740,12
621,21.9,2022-12-01 14:10:00,14,Thursday,0,3,850,12
639,22.3,2022-12-01 14:20:00,14,Thursday,0,3,860,12
622,21.5,2022-12-01 16:10:00,16,Thursday,0,3,970,12
495,22.2,2022-12-02 06:20:00,6,Friday,0,4,380,12
626,23.1,2022-12-02 08:20:00,8,Friday,1,4,500,12
539,21.6,2022-12-02 09:00:00,9,Friday,0,4,540,12
534,22.1,2022-12-02 10:20:00,10,Friday,0,4,620,12
601,22.2,2022-12-02 12:50:00,12,Friday,0,4,770,12
595,23.5,2022-12-02 14:00:00,14,Friday,0,4,840,12
558,22.0,2022-12-02 15:30:00,15,Friday,0,4,930,12
546,22.1,2022-12-02 21:20:00,21,Friday,1,4,1280,12
492,20.1,2022-12-02 22:20:00,22,Friday,0,4,1340,12
542,22.2,2022-12-03 06:30:00,6,Saturday,1,5,390,12
566,20.5,2022-12-03 06:40:00,6,Saturday,0,5,400,12
539,22.8,2022-12-03 08:40:00,8,Saturday,1,5,520,12
517,21.4,2022-12-03 09:00:00,9,Saturday,0,5,540,12
600,22.2,2022-12-03 10:10:00,10,Saturday,1,5,610,12
506,22.2,2022-12-03 12:20:00,12,Saturday,0,5,740,12
511,23.0,2022-12-03 14:50:00,14,Saturday,1,5,890,12
477,20.5,2022-12-03 15:20:00,15,Saturday,0,5,920,12
541,22.9,2022-12-03 18:00:00,18,Saturday,1,5,1080,12
639,23.9,2022-12-03 20:00:00,20,Saturday,0,5,1200,12
612,22.5,2022-12-04 07:10:00,7,Sunday,1,6,430,12
526,20.9,2022-12-04 15:50:00,15,Sunday,0,6,950,12
612,24.8,2022-12-04 16:50:00,16,Sunday,1,6,1010,12
634,21.0,2022-12-04 17:40:00,17,Sunday,0,6,1060,12
529,21.2,2022-12-04 19:10:00,19,Sunday,1,6,1150,12
493,22.5,2022-12-04 19:50:00,19,Sunday,0,6,1190,12
623,22.2,2022-12-05 06:10:00,6,Monday,1,0,370,12
570,20.0,2022-12-05 07:00:00,7,Monday,0,0,420,12
503,21.0,2022-12-05 08:30:00,8,Monday,1,0,510,12
526,20.5,2022-12-05 13:30:00,13,Monday,0,0,810,12
531,21.9,2022-12-05 19:40:00,19,Monday,1,0,1180,12
621,22.7,2022-12-05 21:40:00,21,Monday,0,0,1300,12
618,24.2,2022-12-06 06:10:00,6,Tuesday,1,1,370,12
485,21.6,2022-12-06 07:40:00,7,Tuesday,0,1,460,12
615,23.7,2022-12-06 09:20:00,9,Tuesday,0,1,560,12
514,22.9,2022-12-06 13:40:00,13,Tuesday,0,1,820,12
625,23.7,2022-12-06 14:00:00,14,Tuesday,0,1,840,12
633,20.2,2022-12-06 14:30:00,14,Tuesday,0,1,870,12
596,23.6,2022-12-06 17:20:00,17,Tuesday,1,1,1040,12
541,21.3,2022-12-06 20:40:00,20,Tuesday,0,1,1240,12
487,22.4,2022-12-06 21:10:00,21,Tuesday,1,1,1270,12
567,23.9,2022-12-07 15:00:00,15,Wednesday,0,2,900,12
643,20.2,2022-12-07 16:30:00,16,Wednesday,0,2,990,12
562,22.6,2022-12-07 17:10:00,17,Wednesday,0,2,1030,12
517,22.4,2022-12-07 20:20:00,20,Wednesday,1,2,1220,12
648,22.1,2022-12-07 20:50:00,20,Wednesday,0,2,1250,12
549,21.3,2022-12-07 22:00:00,22,Wednesday,1,2,1320,12
640,22.1,2022-12-07 22:40:00,22,Wednesday,0,2,1360,12
476,19.9,2022-12-08 14:00:00,14,Thursday,0,3,840,12
634,25.0,2022-12-08 15:00:00,15,Thursday,0,3,900,12
552,22.2,2022-12-08 15:40:00,15,Thursday,0,3,940,12
549,21.3,2022-12-08 16:40:00,16,Thursday,0,3,1000,12
558,23.2,2022-12-08 18:40:00,18,Thursday,1,3,1120,12
560,20.6,2022-12-09 06:40:00,6,Friday,0,4,400,12
623,20.2,2022-12-09 16:40:00,16,Friday,0,4,1000,12
501,23.6,2022-12-11 17:00:00,17,Sunday,0,6,1020,12
488,23.3,2022-12-11 18:40:00,18,Sunday,1,6,1120,12
623,22.1,2022-12-13 11:50:00,11,Tuesday,0,1,710,12
563,21.1,2022-12-13 16:20:00,16,Tuesday,0,1,980,12
648,24.0,2022-12-14 06:10:00,6,Wednesday,0,2,370,12
598,23.8,2022-12-14 09:30:00,9,Wednesday,0,2,570,12
516,19.9,2022-12-14 13:10:00,13,Wednesday,0,2,790,12
513,23.7,2022-12-14 16:00:00,16,Wednesday,0,2,960,12
484,20.2,2022-12-14 16:30:00,16,Wednesday,0,2,990,12
507,23.6,2022-12-14 17:10:00,17,Wednesday,1,2,1030,12
561,19.7,2022-12-14 20:10:00,20,Wednesday,0,2,1210,12
564,21.6,2022-12-14 20:30:00,20,Wednesday,1,2,1230,12
589,22.6,2022-12-15 06:10:00,6,Thursday,0,3,370,12
648,22.2,2022-12-15 07:00:00,7,Thursday,1,3,420,12
532,20.1,2022-12-15 08:40:00,8,Thursday,0,3,520,12
583,22.0,2022-12-15 10:50:00,10,Thursday,0,3,650,12
476,22.0,2022-12-15 11:20:00,11,Thursday,0,3,680,12
575,22.4,2022-12-15 18:10:00,18,Thursday,1,3,1090,12
510,22.8,2022-12-15 22:40:00,22,Thursday,0,3,1360,12
570,23.1,2022-12-16 09:30:00,9,Friday,0,4,570,12
508,23.1,2022-12-16 09:40:00,9,Friday,0,4,580,12
636,22.7,2022-12-16 11:20:00,11,Friday,0,4,680,12
547,23.3,2022-12-16 13:00:00,13,Friday,0,4,780,12
621,21.5,2022-12-16 16:40:00,16,Friday,0,4,1000,12
475,22.4,2022-12-16 18:10:00,18,Friday,0,4,1090,12
554,20.2,2022-12-16 22:10:00,22,Friday,1,4,1330,12
567,21.3,2022-12-17 12:30:00,12,Saturday,0,5,750,12
615,22.0,2022-12-17 12:40:00,12,Saturday,1,5,760,12
607,20.0,2022-12-17 16:40:00,16,Saturday,0,5,1000,12
526,23.1,2022-12-17 21:10:00,21,Saturday,1,5,1270,12
550,23.1,2022-12-18 12:00:00,12,Sunday,0,6,720,12
604,23.3,2022-12-18 16:00:00,16,Sunday,1,6,960,12
481,22.9,2022-12-18 17:10:00,17,Sunday,0,6,1030,12
600,22.6,2022-12-18 20:10:00,20,Sunday,1,6,1210,12
537,21.7,2022-12-19 10:40:00,10,Monday,0,0,640,12
517,22.3,2022-12-20 18:10:00,18,Tuesday,1,1,1090,12
619,20.7,2022-12-20 22:10:00,22,Tuesday,0,1,1330,12
610,24.9,2022-12-21 06:20:00,6,Wednesday,1,2,380,12
560,22.6,2022-12-21 11:00:00,11,Wednesday,0,2,660,12
607,22.4,2022-12-21 11:30:00,11,Wednesday,0,2,690,12
496,21.9,2022-12-22 09:40:00,9,Thursday,0,3,580,12
612,22.1,2022-12-22 12:20:00,12,Thursday,0,3,740,12
561,20.5,2022-12-22 13:30:00,13,Thursday,0,3,810,12
546,21.9,2022-12-22 16:40:00,16,Thursday,0,3,1000,12
616,20.3,2022-12-22 18:20:00,18,Thursday,0,3,1100,12
500,22.9,2022-12-22 19:10:00,19,Thursday,1,3,1150,12
638,20.8,2022-12-22 20:10:00,20,Thursday,0,3,1210,12
501,21.2,2022-12-23 10:40:00,10,Friday,0,4,640,12
500,22.0,2022-12-23 17:50:00,17,Friday,0,4,1070,12
602,24.9,2022-12-24 10:40:00,10,Saturday,1,5,640,12
532,22.6,2022-12-25 07:40:00,7,Sunday,0,6,460,12
632,21.5,2022-12-25 16:50:00,16,Sunday,1,6,1010,12
576,20.7,2022-12-25 19:40:00,19,Sunday,0,6,1180,12
634,22.7,2022-12-25 19:50:00,19,Sunday,1,6,1190,12
547,23.5,2022-12-26 06:30:00,6,Monday,0,0,390,12
477,21.6,2022-12-26 08:00:00,8,Monday,1,0,480,12
643,21.1,2022-12-26 08:40:00,8,Monday,0,0,520,12
569,19.9,2022-12-26 09:30:00,9,Monday,0,0,570,12
518,21.9,2022-12-27 07:00:00,7,Tuesday,0,1,420,12
